epoch,coxLoss,stratLoss,trainCI,valCI,variance
344,-0.2837,0.0000,0.7327,0.7384,0.6997544169425964
345,-0.2855,0.0000,0.7314,0.7384,0.6993242502212524
346,-0.2861,0.0000,0.7305,0.7385,0.7012794017791748
347,-0.2841,0.0000,0.7335,0.7385,0.6988478899002075
348,-0.2857,0.0000,0.7323,0.7386,0.694026529788971
349,-0.3005,0.0000,0.7371,0.7385,0.6876754760742188
350,-0.2941,0.0000,0.7337,0.7386,0.7031866908073425
351,-0.2853,0.0000,0.7349,0.7386,0.6982332468032837
352,-0.2912,0.0000,0.7348,0.7385,0.6985073685646057
353,-0.3000,0.0000,0.7358,0.7384,0.6922091841697693
354,-0.2927,0.0000,0.7338,0.7386,0.6960941553115845
355,-0.2845,0.0000,0.7322,0.7385,0.6929820775985718
356,-0.2916,0.0000,0.7332,0.7385,0.6897467970848083
357,-0.2946,0.0000,0.7347,0.7385,0.6992551684379578
358,-0.2903,0.0000,0.7330,0.7385,0.7006991505622864
359,-0.3003,0.0000,0.7372,0.7384,0.6947523355484009
360,-0.2864,0.0000,0.7332,0.7383,0.6973294615745544
361,-0.2947,0.0000,0.7346,0.7383,0.698529064655304
362,-0.2981,0.0000,0.7373,0.7384,0.6999866366386414
363,-0.3048,0.0000,0.7381,0.7385,0.6955171227455139
364,-0.3029,0.0000,0.7365,0.7384,0.6946294903755188
365,-0.2894,0.0000,0.7339,0.7384,0.7014447450637817
366,-0.2945,0.0000,0.7336,0.7384,0.6965849995613098
367,-0.2924,0.0000,0.7328,0.7383,0.699508786201477
368,-0.2945,0.0000,0.7349,0.7384,0.7043616771697998
369,-0.2979,0.0000,0.7364,0.7385,0.694119930267334
370,-0.3082,0.0000,0.7401,0.7385,0.703565239906311
371,-0.2936,0.0000,0.7344,0.7384,0.6972818374633789
372,-0.2993,0.0000,0.7353,0.7384,0.7034501433372498
373,-0.3030,0.0000,0.7366,0.7383,0.70453941822052
374,-0.2982,0.0000,0.7341,0.7382,0.6989650726318359
375,-0.2919,0.0000,0.7342,0.7381,0.6927662491798401
376,-0.2930,0.0000,0.7323,0.7380,0.6979075074195862
377,-0.2950,0.0000,0.7338,0.7379,0.6992155313491821
378,-0.2920,0.0000,0.7348,0.7379,0.6972310543060303
379,-0.3068,0.0000,0.7375,0.7378,0.6996305584907532
380,-0.3100,0.0000,0.7362,0.7378,0.7039457559585571
381,-0.2832,0.0000,0.7325,0.7376,0.7062032222747803
382,-0.3066,0.0000,0.7404,0.7377,0.6973558664321899
383,-0.2953,0.0000,0.7361,0.7375,0.697999119758606
384,-0.3057,0.0000,0.7385,0.7373,0.6991354823112488
